run_id,strategy,seq_len,num_peers,replication,churn_rate,seed,token_block,layer_group_size,layer_block_size,decode_steps,chunks_per_step,decode_step_latency_ms_p50,decode_step_latency_ms_p95,decode_step_latency_ms_p99,chunk_get_latency_ms_p95,chunk_success_rate,decode_step_success_rate,timeout_rate,avg_hops_per_chunk,bytes_transferred_total,useful_bytes_total,bytes_overhead_ratio,storage_amplification,peer_utilization_p50,peer_utilization_p95,eviction_events_count,recovery_repair_events_count
run_00098,token_layer_group,512,32,1,0.05,18,32,2,,5,176,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.8,115343360,115343360,1.0,1.0,655360.0,1690828.8,0,21
run_00099,token_layer_group,512,32,1,0.05,19,32,2,,5,176,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.7523,115343360,115343360,1.0,1.0,917504,2228224.0,0,43
run_00100,token_layer_group,1024,32,1,0.05,0,32,2,,5,352,3.45,4.45,5.45,3.0,1.0,1.0,0.0,1.6886,230686720,230686720,1.0,1.0,1310720,4456448.0,0,99
run_00101,token_layer_group,1024,32,1,0.05,1,32,2,,5,352,3.45,4.45,5.45,3.0,1.0,1.0,0.0,1.7256,230686720,230686720,1.0,1.0,1310720,6029312.0,0,109
run_00102,token_layer_group,1024,32,1,0.05,2,32,2,,5,352,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.5989,230686720,230686720,1.0,1.0,1310720.0,4023910.4,0,48
run_00103,token_layer_group,1024,32,1,0.05,3,32,2,,5,352,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.6812,230686720,230686720,1.0,1.0,1441792.0,3951820.8,0,49
run_00104,token_layer_group,1024,32,1,0.05,4,32,2,,5,352,2.45,4.45,4.45,3.0,1.0,1.0,0.0,1.7517,230686720,230686720,1.0,1.0,1507328.0,4213964.8,0,111
run_00105,token_layer_group,1024,32,1,0.05,5,32,2,,5,352,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.6722,230686720,230686720,1.0,1.0,1310720.0,4921753.6,0,48
run_00106,token_layer_group,1024,32,1,0.05,6,32,2,,5,352,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.8807,230686720,230686720,1.0,1.0,1310720.0,4096000.0,0,62
run_00107,token_layer_group,1024,32,1,0.05,7,32,2,,5,352,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.7932,230686720,230686720,1.0,1.0,1376256.0,4751360.0,0,93
run_00108,token_layer_group,1024,32,1,0.05,8,32,2,,5,352,3.45,3.45,4.45,2.0,1.0,1.0,0.0,1.533,230686720,230686720,1.0,1.0,1310720,4784128.0,0,78
run_00109,token_layer_group,1024,32,1,0.05,9,32,2,,5,352,3.45,3.45,4.45,2.0,1.0,1.0,0.0,1.6642,230686720,230686720,1.0,1.0,1310720.0,4875878.4,0,50
